"Year","Page","Score","Confidence","Stage","SDGs","Summary"
2020,93,1,0.9,"mention_only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","The company lists the UN Sustainable Development Goals as one of the key guidelines and frameworks they consider."
2020,26,2,0.9,"mention_only","SDG 3","The company prioritizes the safety and well-being of its employees, aiming for 'Zero Harm'."
2022,27,2,0.9,"mention_only","SDG 9","The company has a formal policy on information security management."
2022,15,2,0.9,"mention_only","SDG 5","The company has a non-discriminatory policy framework that promotes equal opportunity for all."
2022,15,2,0.9,"mention_only","SDG 8, SDG 12, SDG 16","The company's Supplier Code of Conduct (SCoC) incorporates UN Global Compact principles."
2022,12,2,0.9,"mention_only","SDG 5","The company conducted various awareness trainings on gender equality and women's empowerment."
2023,12,2,0.9,"mention_only","SDG 12","The company confirms that Extended Producer Responsibility (EPR) applies to its activities."
2023,12,2,0.9,"mention_only","SDG 12","The company confirms that its waste collection plan aligns with the EPR plan submitted to Pollution Control Boards."
2023,29,2,0.9,"mention_only","SDG 15","JSW Steel avoids operating in sensitive ecological areas."
2024,10,2,0.9,"mention_only","SDG 13","The company's decarbonization strategy aligns with the IEA's roadmap and the Paris Agreement's goals to limit global warming."
2024,48,2,0.9,"mention_only","SDG 13","The company outlines its climate change policy with three key pillars: preventing climate change, mitigating and adapting to its impacts, and building resilience."
2025,155,2,0.9,"mention_only","SDG 16, SDG 17","The company describes its corporate governance framework, which includes a board of directors with committees dedicated to business responsibility, sustainability reporting, risk management, and stakeholder relationships."
2020,130,1,0.8,"mention_only","SDG 1, SDG 8, SDG 10","JSW Steel aims to empower communities to achieve sustainable livelihoods."
2020,93,2,0.8,"mention_only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","The company states they reviewed existing policies, globally relevant guidelines and frameworks, including the UN SDGs, when determining their focus areas."
2020,144,1,0.8,"mention_only","SDG 1","The company states its commitment to ending poverty."
2020,144,1,0.8,"mention_only","SDG 2","The company aims to end hunger and promote sustainable agriculture."
2020,144,1,0.8,"mention_only","SDG 3","The company is committed to ensuring healthy lives and well-being for all."
2020,144,1,0.8,"mention_only","SDG 4","The company aims to provide inclusive and equitable quality education and lifelong learning opportunities."
2020,144,1,0.8,"mention_only","SDG 5","The company strives for gender equality and empowerment of women and girls."
2020,26,2,0.8,"mention_only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","The company has established a sustainability framework with 17 focus areas aimed at creating a significant impact."
2020,112,2,0.8,"mention_only","SDG 3, SDG 9, SDG 13","The text states that air pollution has led to regulations controlling emissions."
2020,112,2,0.8,"mention_only","SDG 12, SDG 13","The company acknowledges its responsibility to reduce air emissions beyond regulatory requirements."
2020,167,2,0.8,"mention_only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","The company has a sustainability framework with 17 focus areas."
2020,96,2,0.8,"mention_only","SDG 13","The text highlights the global recognition of climate change as a major challenge and the international efforts to address it."
2020,48,1,0.8,"mention_only","SDG 13","The text states that there is a growing global focus on environmental protection and combating climate change."
2022,20,1,0.8,"mention_only","SDG 13","The company's CO2 reduction target aligns with the global sustainable development scenario (SDS) pathway."
2022,15,1,0.8,"mention_only","SDG 5","The company promotes diversity and inclusion as a core value."
2022,15,2,0.8,"mention_only","SDG 12","The company engages with suppliers to promote responsible business practices."
2022,15,2,0.8,"mention_only","SDG 5, SDG 8, SDG 10","The company states its commitment to promoting inclusivity, equality, and safeguarding human rights."
2022,7,2,0.8,"mention_only","SDG 13, SDG 15, SDG 6","The company's board of directors discusses topics related to various sustainability principles, including climate change, biodiversity, and water."
2022,19,2,0.8,"mention_only","SDG 10","The company states that its premise/office is accessible to differently abled visitors."
2023,4,2,0.8,"mention_only","SDG 13","The company recognizes the importance of India's INDCs in achieving climate change targets."
2023,25,1,0.8,"mention_only","SDG 13","The company's CO2 reduction target aligns with the global sustainable development scenario (SDS) pathway."
2023,8,2,0.8,"mention_only","SDG 13, SDG 15, SDG 6","The Board of Directors discusses topics related to climate change, biodiversity, water, and sustainability."
2023,4,2,0.8,"mention_only","SDG 3, SDG 8","The company states its commitment to providing a safe and healthy working environment for all stakeholders."
2023,4,2,0.8,"mention_only","SDG 5, SDG 8, SDG 10","The company states its commitment to non-discriminatory hiring practices based on merit."
2023,8,2,0.8,"mention_only","SDG 8, SDG 12, SDG 13","The company states its policies are based on NGRBC and various international standards, including the UN Sustainable Development Goals."
2023,4,2,0.8,"mention_only","SDG 12","The company states adherence to government regulations and mine closure plans."
2023,29,2,0.8,"mention_only","SDG 15","JSW Steel prioritizes biodiversity and aligns with national biodiversity targets."
2023,8,2,0.8,"mention_only","SDG 13","The company has a policy specifically addressing climate change."
2023,21,2,0.8,"mention_only","SDG 16","The company states its commitment to fulfilling human rights by adhering to national, local, and international norms."
2023,31,2,0.8,"mention_only","SDG 9","JSW Steel collaborates with industry associations to influence policies related to the Indian steel sector."
2024,129,2,0.8,"mention_only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","The company states its sustainability framework aligns with various international standards, including the UNSDGs."
2024,129,1,0.8,"mention_only","SDG 13","The company's CO2 reduction target aligns with the global sustainable development scenario."
2024,47,2,0.8,"mention_only","SDG 13","The company states its commitment to environmental protection through innovation and sustainable practices."
2024,32,2,0.8,"mention_only","SDG 13","The company acknowledges the increasing pressure for climate action and potential impact on its operations."
2024,12,2,0.8,"mention_only","SDG 12, SDG 13, SDG 17","The company states its commitment to integrating sustainable practices into its operations."
2024,129,2,0.8,"mention_only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","The company states that its policies are based on NGRBC and various international standards, including the UN Sustainable Development Goals."
2025,53,1,0.8,"mention_only","SDG 6","The company states its initiatives aim to provide sustainable water access and improve community health."
2025,51,2,0.8,"mention_only","SDG 12","JSW Steel has been recognized for its sustainability performance by being included in the DJSI World and Emerging Markets Indices."
2025,155,2,0.8,"mention_only","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","The company states its policies are based on various international standards and frameworks, including the UN Sustainable Development Goals."
