"Year","Page","Score","Strength","Stage","SDGs","Tags","Summary","Text"
2022,19,9,"strong","Measurable","SDG 7, SDG 12","target, measured_outcome","JSW Steel Salem achieved its energy efficiency targets under the PAT scheme, verified by a third party.","JSW Steel Salem- PAT Cycle-III- FY20- Target Achieved as per the 3rd party verification."
2022,13,9,"strong","Measurable","SDG 8","initiative, target, measured_outcome","The company underwent British Safety Council audits, with one plant achieving a 5-star rating.","• British safety council Audits were initiated at our plants. Salem unit become the first ISP in the world to be recognised with 5 Star rating."
2020,114,8,"strong","Measurable","SDG 13, SDG 15","initiative, measured_outcome","The company has undertaken plantation activities in collaboration with the Karnataka State Forest department, resulting in increased forest cover.","Plantation activities in adjoining reserve forest along with the Karnataka State Forest department Land development and forest cover increase; 33% land developed with plantation"
2020,114,8,"strong","Measurable","SDG 13, SDG 14, SDG 15","initiative, measured_outcome","The company planted 349,970 mangrove saplings as part of a recognized project, which benefits farmers by protecting agricultural land.","Planted 3,49,970 mangrove saplings as a part of the Mangrove Restoration Project, which has also been recognised by India Business and Biodiversity Initiative (IBBI) Benefits to farmers as mangroves hold the soil and prevent ingress of salt water into agricultural land"
2022,19,8,"strong","Measurable","SDG 7, SDG 12","target, measured_outcome","JSW Steel Vijayanagar achieved its energy efficiency targets under the PAT scheme.","JSW Steel Vijayanagar- PAT Cycle-II- FY19- Target Achieved"
2023,4,8,"strong","Measurable","SDG 6","initiative, measured_outcome","The company states its Zero Liquid Discharge (ZLD) status and its benefits.","We uphold our Zero Liquid Discharge (ZLD) status across all our steel manufacturing locations. Following the ZLD process, we have achieved cost savings, mitigated water acquisition risks and achieved overall better environmental performance and compliance."
2024,48,8,"strong","In progress","SDG 13","kpi, target, measured_outcome","The company reports its CO2 emission intensity, reduction targets, and progress towards carbon neutrality.","‘000 tCO2 CO2 emission intensity tCO2/tcs 2.36 FY23 2.50 FY22 2.44 FY24 2.44 tCO2/tcs Specific CO2 emissions from our three ISPs 28% Reduction compared to the baseline of 2005 0.26 tCO2/tonne of product* Carbon footprint of JSW Steel Coated Products Target 2030 FY 2023-24 Progress Reducing specific CO2 emissions from our three ISPs to < 1.95 tCO2/tcs Achieving carbon neutrality at JSW Steel Coated Products 49,359.39 FY23 44,211.31 FY22 53,167.64 FY24 * Equivalent product for Vasind, Tarapur and Kalmeshwar Net Neutral by 2050"
2024,48,8,"strong","Measurable","SDG 13","kpi, measured_outcome","The company reports avoided emissions of 5.25 million tCO2 and total emissions of 12.22 million tCO2 across various categories.","During the reporting period, we had a credit due to avoided emissions of about 5.25 million tCO2 in the categories of Use of Sold Products and Processing of Sold Products, as per the guidance of Worldsteel. The following categories contributed around 12.22 million tCO2 emissions: ∞Purchased goods and services ∞Fuel & Energy related activities ∞Upstream transportation and distribution ∞Waste generated in operation ∞Business travel ∞Employee commute ∞Downstream transportation and distribution The Scope 3 emissions of all applicable categories were calculated in accordance with the technical guidance for calculating Scope 3 emissions issued by the GHG protocol."
2024,76,8,"strong","In progress","SDG 3","measured_outcome, initiative","AI-powered screenings reached 7,500 individuals, with 23% testing presumptive positive for tuberculosis.","Harnessing cutting-edge AI technology, we have conducted screenings that have reached 7,500 individuals. Alarmingly, 23% of those screened were identified as presumptive positive cases—double the national average of 0.5% of active TB cases per 1,00,000 population, reported by the National Tuberculosis Elimination Programme (NTEP)."
2024,63,8,"strong","Measurable","SDG 3, SDG 7","initiative, measured_outcome","The company provided solar energy backup to Primary Health Centres in Vijaynagar, ensuring reliable energy for healthcare services.","Interventions Outcomes VIJAYANAGAR Energy security for community Primary Health Centres (PHCs) through the provision of solar energy backup Allows local communities to access reliable and efficient energy systems for the delivery of community health services in an uninterrupted manner"
2024,63,8,"strong","Measurable","SDG 6","initiative, measured_outcome","The company renovated a water pond in Nandihalli, significantly increasing its water holding capacity.","Renovation of water pond at Nandihalli Significant increase in the water holding capacity, with an additional 12,000 cubic metres"
2025,170,8,"strong","Measurable","SDG 13","target, measured_outcome","The company has set a target to reduce CO2 emissions by 42% by 2030 and has already achieved a 30% reduction in CO2 emission intensity.","Whilst the Company has set a target to achieve 42% reduction in its CO2 emissions by 2030, it has made significant progress in achieving its commitment towards climate change mitigation by reducing its CO2 emission intensity by 30% from its base year of 2005 in FY 25."
2025,2,8,"strong","Measurable","SDG 8, SDG 12","target, measured_outcome","The company has achieved ResponsibleSteel™ Certification for over 80% of its primary steel production.","With over 80% of our primary steel now certified, and Tarapur leading as India’s first certified downstream mill, we are setting bold benchmarks for ethical, environmental, and socially responsible steelmaking."
2025,53,8,"strong","In progress","SDG 13","initiative, measured_outcome","The COE executed 565 projects in FY 2024-25, contributing to emissions reductions and improved environmental performance.","In FY 2024–25 alone, the COE executed 565 projects, many of which delivered tangible emissions reductions and helped improve the sustainability and environmental performance of our operations."
2020,112,7,"strong","In progress","SDG 3, SDG 9, SDG 13","initiative, target, kpi","The company installed de-dusting systems to reduce PM emissions to less than 2mg/m3.","Vijayanagar — Installation of de-dusting systems designed to achieve a work zone guarantee of <2mg/m3 of PM emissions
Improvement of any means by which air emissions are treated on the sites, subsequently enhancing the quality of any eventual air emissions"
2022,20,7,"strong","In progress","SDG 13","initiative, measured_outcome","The company operates a Carbon Capture and Utilisation (CCU) facility with a capacity of 100TPD, capturing and refining CO2 for use in the food & beverage industry.","We are operating a CCU of 100TPD capacity where CO2 is captured and refined for use in the food & beverage industry."
2023,25,7,"strong","In progress","SDG 9, SDG 13","initiative, measured_outcome","The company operates a Carbon Capture and Utilization (CCU) facility with a capacity of 100TPD, capturing CO2 for use in the food & beverage industry.","We are operating a CCU of 100TPD capacity where CO2 is captured and refined for use in the food & beverage industry."
2023,32,7,"strong","In progress","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 8, SDG 10","initiative, measured_outcome","The company reports on the number of beneficiaries of their CSR projects, with 75% coming from vulnerable and marginalized groups.","6. Details of beneficiaries of CSR Projects: S. No. CSR Project No. of persons benefited from CSR Projects % of beneficiaries from vulnerable and marginalised group 1. Health & Nutrition: Focusing mother & child health and well-being of the community 303256 75.00 2. Education and Learning: Improving standards & quality of delivery of education 102420 75.00 3. Agri-initiatives: Aiming for sustainable prosperity of farming communities 10500 75.00 4. Livelihood: Empowering women, fueling growth 25640 75.00 5. Waste Management 114944 75.00 6. Water conservation and augmentation: Conserving for better tomorrow 55175 75.00 7. Margdarshak: Facilitating Social Entitlements 178944 75.00"
2024,76,7,"strong","In progress","SDG 3","initiative, target","The company is collaborating with the government to eradicate tuberculosis in 1,000 villages.","In partnership with the Central Tuberculosis (TB) Division, Government of India, we have embarked on an ambitious journey with the TB Mukt India initiative. This programme aims to eradicate tuberculosis from 1,000 villages by focusing on early detection and intervention."
2025,53,7,"strong","In progress","SDG 1, SDG 2, SDG 3, SDG 4, SDG 8, SDG 10","initiative, target, kpi","The company aims to reach over two million people through community initiatives focused on education, health, nutrition, and skill development.","Improve community reach by touching over two million lives across initiatives across education, heath & nutrition and skill development for livelihood improvement through JSW Foundation."
2025,117,7,"strong","In progress","SDG 13","kpi, measured_outcome","The company reduced its Scope 1 and 2 emission intensity by 3% and specific energy consumption by 3.5% in the previous fiscal year.","In FY 2024-25, the Company reduced its Scope 1 and 2 emission intensity by ~3% and specific energy consumption by 3.5% from the previous year."
2025,53,7,"strong","Planned","SDG 13","target, initiative, measured_outcome","The SEED initiative aims to reduce CO2 emissions by 18 million tonnes by 2030.","SEED aims to deliver measurable reductions in CO2 emissions across our value chain, with an ambitious goal of cutting over 18 million tonnes of CO2 by 2030."
2020,173,7,"strong","In progress","SDG 3, SDG 8","policy, initiative, target","JSW Group aims for 'Zero Harm' across its businesses and implements initiatives to achieve this goal.","Ensuring the health and safety of people at all its workplaces is also a key goal to the Company’s business responsibility vision. JSW Group targets to achieve ‘Zero Harm’ across its businesses and continues to implement initiatives under the ‘VISION 000’ motto."
2024,63,7,"strong","In progress","SDG 1, SDG 2","initiative, measured_outcome","The company implemented agriculture best practices in DOLVI, reaching approximately 5,000 community members.","DOLVI Enhancement of livelihood through agriculture best practices ~5,000 community members reached"
2024,63,7,"strong","In progress","SDG 11, SDG 12, SDG 13","initiative, measured_outcome","The company aims to achieve a zero-dumping project across 23 villages, reaching approximately 15,000 households.","To achieve a zero-dumping project for 23 villages across 15 gram panchayats ~15,000 households reached"
2025,12,7,"strong","In progress","SDG 13","initiative, target, kpi","The company has a program to reduce CO2 emissions by 42% by the end of the decade.","Through our flagship SEED (Sustainable Energy, Environment and Decarbonisation) programme, we have charted a clear pathway for a 42% reduction in our specific CO2 emissions by the end of this decade."
2024,63,7,"strong","In progress","SDG 3, SDG 4, SDG 6, SDG 11, SDG 13","initiative, measured_outcome","The company conducts regular on-ground reviews of various community parameters, reaching approximately 35,000 community members.","Implementation of regular on-ground reviews of various health, livelihood, education, water and environment parameters ~35,000 community members reached"
2023,4,6,"strong","In progress","SDG 13","policy, initiative, target","The company has set decarbonization targets, a climate change policy, and a dedicated group to drive climate action.","We have developed clear targets for decarbonisation, have a dedicated climate change policy, and instituted a Climate Action Group to drive the organisation’s climate action agenda."
2023,31,6,"strong","In progress","SDG 1, SDG 8, SDG 11","initiative, target","JSW Steel's Integrated Steel Plant (ISP) project in Paradip, Odisha, has affected 5000 families, with 93% covered by rehabilitation and resettlement efforts, costing 62 crores.","Integrated Steel Plant (ISP) project, Paradip Odisha Jagatsinghpur 5000 93 62 Cr"
2024,45,6,"strong","Measurable","SDG 13","kpi","The company has reduced CO2 emissions by 28% from the base year.","CO2 emissions from base year 28%"
